PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,Date
3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,E,0.5,Changping,2013-03-01 00:00:00
3.0,3.15,6.35,6.05,300.0,85.0,-2.49,1021.275,-19.035,0.0,ENE,0.69,Changping,2013-03-01 01:00:00
3.0,3.0,21.1,12.399999999999999,390.0,75.1,-2.95,1021.3,-19.88,0.0,ENE,0.23,Changping,2013-03-01 02:00:00
3.0,6.0,12.0,8.0,300.0,81.0,-3.5100000000000002,1021.7249999999999,-19.1,0.0,NNE,0.9549999999999998,Changping,2013-03-01 03:00:00
3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.1999999999999,-19.4,0.0,N,1.88,Changping,2013-03-01 04:00:00
3.0,3.0,10.0,16.0,400.0,71.75,-4.275,1022.525,-19.5,0.0,NNW,1.7,Changping,2013-03-01 05:00:00
3.6999999999999993,6.0,12.0,20.499999999999996,469.99999999999994,66.8,-4.5,1023.16,-19.5,0.0,NNW,1.8,Changping,2013-03-01 06:00:00
3.0,6.0,23.95,33.04999999999999,565.0,53.95,-2.17,1024.1799999999998,-19.965,0.0,NW,2.36,Changping,2013-03-01 07:00:00
6.999999999999998,17.39999999999999,13.0,40.8,660.0,46.8,-0.9600000000000006,1024.96,-20.3,0.0,NNW,2.6799999999999997,Changping,2013-03-01 08:00:00
10.099999999999998,27.199999999999996,5.45,18.0,500.0,73.0,0.23999999999999916,1025.2549999999999,-20.4,0.0,NNW,3.3499999999999988,Changping,2013-03-01 09:00:00
9.0,10.0,4.0,10.0,300.0,83.0,1.2999999999999998,1025.1,-20.9,0.0,N,2.2,Changping,2013-03-01 10:00:00
3.0,3.0,4.0,9.0,300.0,81.0,2.719999999999999,1024.8,-20.7,0.0,NNE,2.7,Changping,2013-03-01 11:00:00
3.0,6.0,4.0,8.0,300.0,87.0,4.079999999999998,1023.8,-19.7,0.0,N,3.0,Changping,2013-03-01 12:00:00
3.0,54.199999999999974,5.0,9.0,300.0,89.0,5.1499999999999995,1022.8,-20.6,0.0,NE,4.01,Changping,2013-03-01 13:00:00
9.0,60.0,5.0,6.0,300.0,91.19999999999999,5.83,1022.6,-20.5,0.0,N,3.6,Changping,2013-03-01 14:00:00
3.0,34.0,6.0,7.0,300.0,94.0,5.925000000000001,1022.6,-20.4,0.0,N,3.2,Changping,2013-03-01 15:00:00
3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,NE,2.2,Changping,2013-03-01 16:00:00
6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,ENE,2.0,Changping,2013-03-01 17:00:00
4.0,17.0,26.499999999999968,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,NE,3.6,Changping,2013-03-01 18:00:00
7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,ENE,1.7,Changping,2013-03-01 19:00:00
8.0,21.0,23.0,14.0,300.0,80.0,1.1,1025.3,-19.0,0.0,NE,1.7,Changping,2013-03-01 20:00:00
7.0,16.0,34.0,19.0,300.0,74.0,1.6,1025.8700000000001,-18.335,0.0,E,2.3,Changping,2013-03-01 21:00:00
5.0,13.0,25.0,16.0,300.0,76.0,0.4,1026.6200000000001,-17.49,0.0,E,0.23000000000000004,Changping,2013-03-01 22:00:00
7.0,12.0,39.55,25.0,500.0,65.0,0.3,1026.955,-17.4,0.0,NE,1.5,Changping,2013-03-01 23:00:00
10.599999999999994,13.0,23.0,16.0,400.0,69.0,-0.5,1027.16,-16.76,0.0,SW,3.0,Changping,2013-03-02 00:00:00
11.0,10.0,24.0,18.0,400.0,67.0,-1.8,1027.3500000000001,-16.7,0.0,SSW,0.9,Changping,2013-03-02 01:00:00
11.7,9.0,23.282471876260324,41.099999999999994,669.9999999999999,46.6,-1.7,1027.6100000000001,-17.4,0.0,SSW,1.5,Changping,2013-03-02 02:00:00
12.649999999999999,24.0,23.0,42.0,599.8040433860649,41.50275368015383,-2.5,1027.7,-17.4,0.0,SW,1.7,Changping,2013-03-02 03:00:00
13.599999999999998,18.0,24.0,46.57711938994021,400.0,45.0,-3.4,1027.5,-17.0,0.0,NW,0.8,Changping,2013-03-02 04:00:00
13.0,13.0,37.0,53.13283954245515,600.0,35.73652177856804,-3.5,1026.9,-16.8,0.0,N,0.5,Changping,2013-03-02 05:00:00
14.0,15.0,38.0,56.55,754.9999999999998,30.25,-3.5,1026.1,-16.490000000000002,0.0,NNE,0.9,Changping,2013-03-02 06:00:00
15.099999999999994,25.0,39.0,60.29999999999998,854.9999999999998,22.5,-3.3,1026.7,-16.07,0.0,NNW,0.9,Changping,2013-03-02 07:00:00
17.64999999999999,26.0,40.55,64.64999999999999,900.0,16.9,-2.0,1026.4,-15.415000000000003,0.0,NNE,1.0,Changping,2013-03-02 08:00:00
20.64999999999999,43.0,42.099999999999994,66.0,1009.9999999999994,14.9,-0.2,1026.3,-16.6,0.0,WSW,0.5,Changping,2013-03-02 09:00:00
25.84999999999998,65.49999999999997,40.0,54.0,900.0,29.0,0.6,1025.8,-17.2,0.0,SW,1.3,Changping,2013-03-02 10:00:00
29.549999999999997,33.0,40.0,61.0,800.0,28.0,1.3,1025.4,-17.1,0.0,ESE,1.1,Changping,2013-03-02 11:00:00
30.549999999999997,41.0,42.0,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,WSW,1.6,Changping,2013-03-02 12:00:00
30.0,34.0,42.0,50.0,700.0,42.0,2.3,1022.6,-17.3,0.0,SE,0.3350000000000001,Changping,2013-03-02 13:00:00
30.0,32.0,46.84999999999998,59.0,900.0,36.0,3.0,1022.6,-17.3,0.0,S,0.09000000000000004,Changping,2013-03-02 14:00:00
34.84999999999998,41.0,49.0,58.0,900.0,38.0,2.9,1022.215,-16.8,0.0,WSW,1.2,Changping,2013-03-02 15:00:00
40.19999999999999,49.0,49.0,62.0,900.0,35.0,2.5,1021.35,-17.1,0.0,WNW,0.5,Changping,2013-03-02 16:00:00
43.099999999999994,50.0,50.0,66.0,900.0,31.0,2.1,1020.735,-16.4,0.0,E,0.7,Changping,2013-03-02 17:00:00
44.0,55.0,50.0,67.64999999999999,900.0,23.0,1.5,1020.49,-16.0,0.0,NE,0.7,Changping,2013-03-02 18:00:00
45.099999999999994,60.0,34.0,71.19999999999999,1000.0,18.0,0.3,1020.29,-15.3,0.0,NE,0.6,Changping,2013-03-02 19:00:00
46.55,62.749999999999986,43.0,74.64999999999999,1209.9999999999995,13.45,0.0,1020.09,-15.2,0.0,NE,0.2,Changping,2013-03-02 20:00:00
49.749999999999986,67.74999999999999,50.55,79.29999999999998,1464.999999999999,12.45,-1.2,1019.9449999999999,-14.715000000000002,0.0,N,1.0,Changping,2013-03-02 21:00:00
61.34999999999995,73.29999999999998,49.0,82.0,1600.0,10.350000000000001,-2.1,1019.79,-14.015000000000002,0.0,NNE,0.4,Changping,2013-03-02 22:00:00
62.0,71.0,52.099999999999994,83.1,1654.9999999999998,9.0,-2.2,1019.37,-13.535,0.0,NNE,1.1,Changping,2013-03-02 23:00:00
70.64999999999999,79.84999999999998,41.0,76.0,1500.0,8.45,-2.4,1018.605,-13.345,0.0,N,1.0,Changping,2013-03-03 00:00:00
50.0,60.0,36.0,73.0,1399.0,7.45,-3.5,1017.76,-13.135000000000002,0.0,NNW,1.4,Changping,2013-03-03 01:00:00
60.0,62.0,37.0,75.0,1500.0,7.0,-3.665,1016.905,-12.835,0.0,NNE,0.8,Changping,2013-03-03 02:00:00
60.0,63.0,41.0,74.0,1600.0,7.0,-3.8,1015.73,-13.4,0.0,NE,0.7,Changping,2013-03-03 03:00:00
64.0,66.0,31.0,69.0,1200.0,7.0,-3.9099999999999997,1014.5500000000001,-13.2,0.0,NNE,0.2,Changping,2013-03-03 04:00:00
56.0,58.0,34.0,71.0,1300.0,6.45,-4.4399999999999995,1013.825,-13.0,0.0,ENE,0.5,Changping,2013-03-03 05:00:00
53.0,59.0,24.0,68.0,1399.0,6.0,-5.239999999999999,1013.38,-13.1,0.0,NE,0.09000000000000004,Changping,2013-03-03 06:00:00
